         1148739 function calls (1092611 primitive calls) in 1.943 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.030    0.030 /home/seb/.local/lib/python3.8/site-packages/numba/core/dispatcher.py:281(_compilation_chain_init_hook)
        1    0.001    0.001    0.030    0.030 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:654(<genexpr>)
     1744    0.003    0.000    0.030    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:1257(enter_fn)
      196    0.002    0.000    0.029    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:1400(storevar)
      197    0.001    0.000    0.029    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2856(get_entry_map)
       27    0.001    0.000    0.029    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:851(lower_call)
     1853    0.006    0.000    0.028    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/event.py:374(start_event)
      197    0.001    0.000    0.028    0.000 /usr/lib/python3/dist-packages/pkg_resources/__init__.py:2521(parse_map)
     2550    0.006    0.000    0.027    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/ir/values.py:537(__init__)
     5952    0.019    0.000    0.027    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/event.py:227(notify)
    96/87    0.001    0.000    0.026    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:540(get_function)
       91    0.003    0.000    0.026    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:60(_select_compatible)
       26    0.001    0.000    0.026    0.001 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:1092(_lower_call_normal)
      401    0.002    0.000    0.026    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/runtime/context.py:199(_call_incref_decref)
     1002    0.007    0.000    0.026    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/context.py:542(_rate_arguments)
      177    0.008    0.000    0.025    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/np/numpy_support.py:357(ufunc_find_matching_loop)
  595/538    0.001    0.000    0.025    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/ir_utils.py:1525(guard)
      394    0.001    0.000    0.025    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/errors.py:218(__init__)
        4    0.000    0.000    0.025    0.006 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:747(lower_getitem)
       16    0.000    0.000    0.024    0.002 /home/seb/.local/lib/python3.8/site-packages/numba/core/postproc.py:157(_insert_var_dels)
      226    0.002    0.000    0.024    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/lowering.py:1446(delvar)
        4    0.000    0.000    0.024    0.006 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:1036(build_constraint)
        4    0.000    0.000    0.024    0.006 /home/seb/.local/lib/python3.8/site-packages/numba/core/untyped_passes.py:228(run_pass)
       16    0.009    0.001    0.024    0.002 /home/seb/.local/lib/python3.8/site-packages/numba/core/postproc.py:178(_patch_var_dels)
      125    0.000    0.000    0.024    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:1471(resolve_value_type)
      394    0.002    0.000    0.024    0.000 /usr/lib/python3/dist-packages/colorama/initialise.py:23(init)
      225    0.000    0.000    0.024    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:1384(constrain_statement)
     1672    0.005    0.000    0.024    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/base.py:107(_match_arglist)
      184    0.001    0.000    0.024    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typeinfer.py:1451(typeof_assign)
      428    0.002    0.000    0.023    0.000 /home/seb/.local/lib/python3.8/site-packages/llvmlite/binding/module.py:213(__next__)
    12930    0.017    0.000    0.023    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/utils.py:466(stream_list)
      732    0.007    0.000    0.023    0.000 /home/seb/.local/lib/python3.8/site-packages/numba/core/typing/templates.py:887(make_overload_template)
